Filename,Shiny %,Unconditioned %,Black Grooves %
synthetic_disc_01.jpg,24.28%,61.93%,13.80%
synthetic_disc_02.jpg,45.35%,40.87%,13.80%
synthetic_disc_03.jpg,41.03%,45.18%,13.80%
synthetic_disc_04.jpg,71.67%,14.54%,13.80%
synthetic_disc_05.jpg,61.14%,25.07%,13.80%
synthetic_disc_06.jpg,48.84%,37.37%,13.80%
synthetic_disc_07.jpg,44.75%,41.46%,13.80%
synthetic_disc_08.jpg,42.97%,43.24%,13.80%
synthetic_disc_09.jpg,35.72%,50.49%,13.80%
synthetic_disc_10.jpg,26.82%,59.40%,13.80%
synthetic_disc_11.jpg,41.70%,44.51%,13.80%
synthetic_disc_12.jpg,22.40%,63.81%,13.80%
synthetic_disc_13.jpg,36.04%,50.17%,13.80%
synthetic_disc_14.jpg,74.23%,11.98%,13.80%
synthetic_disc_15.jpg,25.16%,61.05%,13.80%
synthetic_disc_16.jpg,57.88%,28.33%,13.80%
synthetic_disc_17.jpg,76.87%,9.34%,13.80%
synthetic_disc_18.jpg,62.25%,23.97%,13.80%
synthetic_disc_19.jpg,80.27%,5.94%,13.80%
synthetic_disc_20.jpg,30.69%,55.52%,13.80%
